sample_label,Country,Site,location,EW,SN,latitude,longitude,Sampling_Day,Date,Date_dmy,Monsoon,Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Rain_6,Rain_7,Height_m,Current,Current_ef,neap_days,spring_days,Chlorophyll_Filtered,Chlorophyll_Unfiltered,Secchi_Depth,Temperature,Salinity,NOx,NO2,NO3,Phosphate,Silicate,NH4,DIN,DIN:PO4,DIN:Si,Si:PO4,Virus/ml,Bacteria/ml,Virus:Bacteria
SBW11,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,11,44158,23/11/20,IM,36.4,85.6,88.2,93.4,93.4,99.8,104.6,2.15,-0.225754597,Ebb,1,7,0.312529579,1.690223978,1.5,29.9,24.2,29.149,17.46,10.518,1.82,10.709,10.238,39.387,21.64120879,3.677934448,5.884065934,3.66E+07,3.65E+06,10.04
SBW12,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,12,44160,25/11/20,IM,0.2,1.2,37.6,86.8,89.4,94.6,94.6,2.65,-0.280136128,Ebb,3,5,0.65177261,1.110509104,3.5,29.4,26.5,29.997,16.9,11.361,2.018,13.311,6.946,36.943,18.30673935,2.775373751,6.596134787,2.94E+07,2.63E+06,11.18
SBW13,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,13,44162,27/11/20,IM,1.8,1.8,2,3,39.4,88.6,91.2,2.91,-0.067433854,Ebb,5,3,11.11560542,10.39094972,2.5,29,26.7,16.723,8.752,7.691,1.587,7.492,3.086,19.809,12.48204159,2.644020288,4.720856963,2.72E+07,3.00E+06,9.06
SBW14,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,14,44163,28/11/20,IM,0,1.8,1.8,2,3,39.4,88.6,3.15,-0.013650481,Ebb,6,2,8.999927481,2.869915677,2,28.6,26.7,23.803,11.085,12.39,1.401,3.93,1.444,25.247,18.0206995,6.424173028,2.805139186,3.05E+07,4.77E+06,6.4
SBW15,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,15,44165,30/11/20,IM,0,2,2,3.8,3.8,4,5,2.98,0.217842402,Flood,8,0,8.791987905,13.23758706,2.5,31.6,27.2,21.997,8.011,13.799,0.829,3.431,1.042,23.039,27.79131484,6.714951909,4.138721351,2.39E+07,2.05E+06,11.65
SBW16,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,16,44167,2/12/20,NE,0,1.6,1.6,3.6,3.6,5.4,5.4,2.66,0.369081365,Flood,6,2,12.98105116,33.79588,1.5,29.4,27.5,15.923,6.497,9.387,0.701,0.571,5.237,21.16,30.18544936,37.05779335,0.814550642,3.49E+07,2.53E+06,13.8
SBW17,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,17,44169,4/12/20,NE,31.8,31.8,31.8,33.4,33.4,35.4,35.4,2.63,0.35327818,Flood,4,4,18.54143368,21.03658132,2,29.2,27.2,18.914,5.579,13.318,0.67,0.204,7.606,26.52,39.58208955,130,0.304477612,3.36E+07,2.80E+06,11.99
SBW18,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,18,44170,5/12/20,NE,5,36.8,36.8,36.8,38.4,38.4,40.4,2.42,0.279030847,Flood,3,5,22.73012326,20.87670772,2,29.3,27.5,17.937,5.336,12.582,0.815,0.555,5.07,23.007,28.22944785,41.45405405,0.680981595,2.99E+07,2.60E+06,11.49
SBW19,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,19,44172,7/12/20,NE,0,0.2,5.2,37,37,37,38.6,2.01,0.04702696,Flood,1,7,10.79437308,18.21510865,2.5,29.3,27.7,18.243,5.088,13.141,1.042,0.786,6.175,24.418,23.43378119,31.06615776,0.754318618,4.29E+07,3.99E+06,10.75
SBW20,Singapore,SBW,Sembawang,East,S,1.464464779,103.8375854,20,44174,9/12/20,NE,0,6.6,6.6,6.8,11.8,43.6,43.6,2.22,-0.304913415,Ebb,1,6,6.217535304,11.21737168,2,29.9,28.4,15.421,5.503,9.869,1.614,7.821,6.911,22.332,13.83643123,2.855389336,4.845724907,7.94E+07,3.85E+06,20.65
